Comment,Designator,Footprint,LCSC
"10uF","C1","Capacitor_SMD:C_0805_2012Metric","C91245"
"0.1uF","C2,C3","Capacitor_SMD:C_0805_2012Metric","C49678"
"1uF","C5","Capacitor_SMD:C_0805_2012Metric","C28323"
"22pF","C6,C7","Capacitor_SMD:C_0805_2012Metric","C1804"
"D_Small","D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18","custom_parts:D_SOT-23_ANK","C68978"
"Polyfuse_Small","F1","Fuse:Fuse_1206_3216Metric","C69688"
"MX-NoLED","MX10,MX11","MX_Only:MXOnly-1.25U-NoLED",""
"MX-NoLED","MX1,MX2,MX3,MX4,MX5,MX6,MX7,MX8,MX9,MX12,MX13,MX14,MX15,MX16,MX17,MX18,MX19,MX20,MX22,MX23,MX24,MX25,MX26,MX27,MX28,MX29,MX31,MX35,MX36","MX_Only:MXOnly-1U-NoLED",""
"MX-NoLED","MX21","MX_Only:MXOnly-1.75U-NoLED",""
"MX-NoLED","MX30","MX_Only:MXOnly-1.5U-NoLED",""
"MX-NoLED","MX32","MX_Only:MXOnly-2.75U-ReversedStabilizers-NoLED",""
"MX-LED","MX33","MX_Only:MXOnly-1U",""
"MX-NoLED","MX34","MX_Only:MXOnly-2.25U-ReversedStabilizers-NoLED",""
"5.1k","R1,R2","Resistor_SMD:R_0805_2012Metric","C27834"
"22","R3,R4","Resistor_SMD:R_0805_2012Metric","C17561"
"10k","R5,R6","Resistor_SMD:R_0805_2012Metric","C17414"
"1.5k","R7","Resistor_SMD:R_0805_2012Metric","C4310"
"SW_Push","RESET1","Button_Switch_SMD:SW_SPST_TL3342","C318884"
"ATmega32U2-AU","U1","Package_QFP:TQFP-32_7x7mm_P0.8mm",""
"SRV05-4","U2","Package_TO_SOT_SMD:SOT-23-6","C85364"
"USB_C_Receptacle_USB2.0","USB1","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"Crystal_GND24_Small","X1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"
